"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related","perp.cat"
"1",199401000001,1994,1,0,"",0,"",217,"United States",1,"North America","Montana (U.S. State)","Helena",46.58976,-112.021204,1,0,"Trees next to clinic.","1/0/1994: John Casserly set trees on fire that were located outside of the Intermountain Planned Parenthood in Helena, Montana, United States.  The fire did not spread to the abortion facility, but some evergreen trees were damaged.",1,1,1,0,NA,"",0,1,0,7,"Facility/Infrastructure Attack",NA,"",NA,"",5,"Abortion Related",40,"Clinics","Planned Parenthood","Intermountain Planned Parenthood",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Anti-Abortion Activists","","","","","","To protest the practice of abortion and to sabotage abortion facilities operating in Montana.",0,NA,NA,1,1,0,NA,"",NA,NA,"",NA,NA,"",NA,8,"Incendiary",18,"Arson/Fire",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Paperbags ignited on fire",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"Evergreen trees damaged.",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"Two years earlier, the same abortion clinic was gutted by an arson fire (199201180012).","""Across the USA: News From Every State,"" USA Today, March 22, 1994.","""Montana: Pro-Lifer Tried in Arson Case,"" Abortion Report, January 25, 1996.","Clinic Defense & Research Department, ""1996 Chronicle of Clinic Harassment & Violence,"" Planned Parenthood Federation of America, Inc.","Anti-Abortion Project 2010",-9,-9,0,-9,"","anti-abortion"
"2",199401060018,1994,1,6,"",0,"",217,"United States",1,"North America","New York (U.S. State)","New York City",40.71455,-74.007124,1,0,"Manhattan","1/6/1994: In a series of two related incidents, a group identifying itself as the Maccabee Squad and Shield of David placed a crudely constructed bomb outside of an office building housing many left-wing Jewish organizations in Manhattan, New York, United States.  The bomb failed to detonate due to a faulty timer.  It was subsequently discovered and disarmed by the police.",1,1,1,0,NA,"",1,0,0,3,"Bombing/Explosion",NA,"",NA,"",14,"Private Citizens & Property",82,"Labor Union Related","Left-wing Jewish organizations in the United States","Offices of the Americans for Progressive Israel, Israel Horizons and the Progressive Zionist Caucus housed in a building on 27 West 20th Street, Manhattan New York",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Maccabee Squad and the Shield of David","","","","","","To criticize the government of Israel and left-wing Jewish organizations",0,NA,NA,-99,-99,1,5,"Note left at scene",NA,NA,"",NA,NA,"",NA,6,"Explosives/Bombs/Dynamite",14,"Time Fuse",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Bomb consisting of a thermos bottle connected to an egg timer filled with black explosive powder",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"This is part of a multiple attack with 199401060019.  The bomb was discovered after it failed to detonate just before 3:00 AM.  A note signed by the Maccabee Squad and Shield of David accompanied the explosive device.  If exploded, it is believed that the bomb would not have caused substantial damage. Moreover, the device was compared to a firecracker.","Malcolm Gladwell, ""Two Identical Bombs Found Outside Manhattan Towers,"" Washington Post, January 6, 1994.","Craig Wolff, ""2 Bombs Left With Notes Fail to Go Off Near Offices,"" New York Times, January 6, 1994.","""World: New York Bombings Raise Israeli Fear,"" The Times-News, January 7, 1994.","Hewitt Project",0,0,0,0,"199401060019","right-wing"
"3",199401060019,1994,1,6,"",0,"",217,"United States",1,"North America","New York (U.S. State)","New York City",40.71455,-74.007124,1,0,"Manhattan","1/6/1994: In a series of two related incidents, a group identifying itself as the Maccabee Squad and Shield of David placed a crudely constructed bomb outside of an office building housing the New Israel Fund in Manhattan, New York, United States.  The bomb failed to detonate due to a faulty timer.  It was subsequently discovered and disarmed by the police.",1,1,1,0,NA,"",1,0,0,3,"Bombing/Explosion",NA,"",NA,"",14,"Private Citizens & Property",82,"Labor Union Related","Left-wing Jewish organization in the United States","Office of the New Israel Fund housed in a building on 111 West 40th Street",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Maccabee Squad and the Shield of David","","","","","","To criticize the government of Israel and left-wing Jewish organizations",0,NA,NA,-99,-99,1,5,"Note left at scene",NA,NA,"",NA,NA,"",NA,6,"Explosives/Bombs/Dynamite",14,"Time Fuse",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Bomb consisting of a thermos bottle connected to an egg timer filled with black explosive powder",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"This is part of a multiple attack with 199401060018.  An anonymous caller phoned the police at 3:29 AM directing authorities to the location of the bomb after it failed to detonate.  A note signed by the Maccabee Squad and Shield of David accompanied the explosive device.  If exploded, it is believed that the bomb would not have caused substantial damage.  Moreover, the device was compared to a firecracker.","Malcolm Gladwell, ""Two Identical Bombs Found Outside Manhattan Towers,"" Washington Post, January 6, 1994.","Craig Wolff, ""2 Bombs Left With Notes Fail to Go Off Near Offices,"" New York Times, January 6, 1994.","""World: New York Bombings Raise Israeli Fear,"" The Times-News, January 7, 1994.","Hewitt Project",0,0,0,0,"199401060018","right-wing"
"4",199401250010,1994,1,25,"",0,"",217,"United States",1,"North America","Iowa (U.S. State)","Ames",42.025345,-93.620199,1,0,"Next to Ames Mall","1/25/1994: Two members of the Aryan Republican Army robbed the FirstStar Bank in Ames, Iowa, United States.  The perpetrators left a fake bomb behind before leaving.  $11,000 was stolen.",1,0,1,1,2,"Other Crime Type",0,1,0,5,"Hostage Taking (Barricade Incident)",NA,"",NA,"",1,"Business",3,"Bank/Commerce","FirstStar Bank","FirstStar Bank, Ames Iowa",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Aryan Republican Army","","","","","","The Aryan Republican Army robbed banks to simultaneously dispose the state of capital and to provide logistical support for their revolutionary war to overthrow the United States  government.  The money from the bank robberies was used to purchase guns, vehicles, and safehouses.  A portion of the money was also donated to various right-wing extremist causes.",0,NA,NA,2,2,0,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",5,"Unknown Gun Type",7,"Fake Weapons",NA,"",NA,"",NA,"",NA,"",NA,"","Fake bomb made of road flares, black electrical tape, wires and a clock.",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",11000,"Money stolen",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"The robbery took place at 5:30 PM and lasted less than one minute.  Pete Langan went inside the bank to steal the money while Richard Guthrie covered the outside.  The FBI would classify this as the first robbery committed by the Aryan Republican Army.","Mark S. Hamm, ""In Bad Company: America's Terrorist Underground,"" Northeastern University Press, 2002.","Richard Leiby, ""The Saga of Pretty Boy Pedro; How a Wheaton Kid Became a Neo-Nazi Bank Robber, and One Confused Human Being,"" Washington Post, February 13, 1997.","Mark S. Hamm, ""Terrorism as Crime: From Oklahoma City to Al-Qaeda and Beyond,"" New York University Press, 2007.","Hewitt Project",0,0,0,0,"","right-wing"
"5",199401270014,1994,1,27,"",0,"",217,"United States",1,"North America","California (U.S. State)","San Diego",32.715695,-117.161719,1,0,"at San Diego Meat Company at 17th & C Streets in San Diego","01/27/1994: Members of a group called the Farm Animal Revenge Militia (FARM) used flammable liquid to set fire to two refrigerated trucks owned by the San Diego Meat Company in San Diego, California in the United States.  Additionally, they spray painted ""Meat is murder"" and the acronym ""F.A.R.M."" on the company building.  The arson caused $40,000 in loss and damage.  Less than half an hour after the fire was set, a man claiming to represent FARM called television station KUSI and claimed to have started the blaze.  There were no casualties in the incident. This incident is related to a similar incident of arson, by the same perpetrators, just three days later at San Diego Meat Company (13094).",1,1,1,0,NA,"",0,1,0,7,"Facility/Infrastructure Attack",NA,"",NA,"",1,"Business",5,"Industrial/Textiles/Factory","San Diego Meat Company","refrigerated trucks belonging to San Diego Meat Company",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Farm Animal Revenge Militia (FARM)","","","","","","Specific motive is unknown, but generally is for animal-rights as the slogan ""Meat is murder"" was painted on the trucks.",0,NA,NA,-99,-99,1,2,"Call (post-incident)",NA,NA,"",NA,NA,"",NA,8,"Incendiary",18,"Arson/Fire",11,"Sabotage Equipment",NA,"",NA,"",NA,"",NA,"",NA,"","flammable liquid; spray paint",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",40000,"refrigerated trucks burned",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"This incident is linked to an incident three days later by the Farm Animal Revenge Militia, in which they set fire to the San Diego Meat Company building itself (13094).","""Arsonist has beef with meat,"" San Diego Union Tribune, January 29, 1994.","Pat Flynn, ""FBI joins probe into attacks on meat firms; Fires claimed to be work of animal-rights group,"" San Diego Union Tribune, February 1, 1994.","Harold D. Guither, ""Animal Rights: History and Scope of a Radical Social Movement,"" Southern Illinois University Press, 1998.","Eco Project 2010",0,0,0,0,"","eco-terror"
"6",199401280002,1994,1,28,"",0,"",217,"United States",1,"North America","Illinois (U.S. State)","Chicago",41.88415,-87.632409,1,0,"","",1,1,1,1,2,"Other Crime Type",0,1,0,7,"Facility/Infrastructure Attack",NA,"",NA,"",8,"Educational Institution",49,"School/University/Educational Building","Unknown","Chicago Community Kollel Institute for Advanced Torah Studies",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Palestinians","","","","","","",0,NA,NA,3,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,8,"Incendiary",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Incendiary",0,NA,NA,0,NA,NA,1,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"","","","","PGIS",1,1,0,1,"",NA
"7",199401300011,1994,1,30,"",0,"",217,"United States",1,"North America","California (U.S. State)","San Diego",32.715695,-117.161719,1,0,"at San Diego Meat Company at 17th & C Streets in San Diego","01/30/1994: Members of the Farm Animal Revenge Militia (FARM) used flammable liquid to set fire to two rooms of the San Diego Meat Company in San Diego, California in the United States.  Additionally, they spray painted ""Meat is murder"" and the acronym ""F.A.R.M. on the company building, similar to the incident at the company just three days earlier (12794).  The arson caused $60,000 in damage to the building and $15,000 to its contents for a total of $75,000 in damage.  There were no casualties in the incident.",1,1,1,0,NA,"",0,1,0,7,"Facility/Infrastructure Attack",NA,"",NA,"",1,"Business",5,"Industrial/Textiles/Factory","San Diego Meat Company","San Diego Meat Company building",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Farm Animal Revenge Militia (FARM)","","","","","","Specific motive is unknown, but generally is for animal-rights as the slogan ""Meat is murder"" was painted on the building.",0,NA,NA,-99,-99,0,0,"0",NA,NA,"",NA,NA,"",NA,8,"Incendiary",18,"Arson/Fire",11,"Sabotage Equipment",NA,"",NA,"",NA,"",NA,"",NA,"","flammable liquid; spray paint",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",75000,"$60,000 in damages to the building and $15,000 to its contents",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"The incident occurred at about 1:14am.  This incident is linked to an incident three days earlier by the Farm Animal Revenge Militia, in which they set fire to refrigerated trucks owned by the San Diego Meat Company (12794).","Pat Flynn, ""FBI joins probe into attacks on meat firms; Fires claimed to be work of animal-rights group,"" San Diego Union Tribune, February 1, 1994.","""Meat firm arson sets off search for group,"" San Diego Union Tribune, January 31, 1994.","Harold D. Guither, ""Animal Rights: History and Scope of a Radical Social Movement,"" Southern Illinois University Press, 1998.","Eco Project 2010",0,0,0,0,"","eco-terror"
"8",199402150009,1994,2,15,"",0,"",217,"United States",1,"North America","Iowa (U.S. State)","Davenport",41.53826,-90.576404,1,0,"In a shopping plaza","2/15/1994: Two members of the Aryan Republican Army robbed the Brenton First National Bank in Davenport, Iowa, United States.  The perpetrators left a fake bomb behind before leaving.  $4,400 was stolen.",1,0,1,1,2,"Other Crime Type",0,1,0,5,"Hostage Taking (Barricade Incident)",NA,"",NA,"",1,"Business",3,"Bank/Commerce","Brenton First National Bank","Brenton First National Bank, Davenport Iowa",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Aryan Republican Army","","","","","","The Aryan Republican Army robbed banks to simultaneously dispose the state of capital and to provide logistical support for their revolutionary war to overthrow the United States  government.  The money from the bank robberies was used to purchase guns, vehicles, and safehouses.  A portion of the money was also donated to various right-wing extremist causes.",0,NA,NA,2,2,0,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",5,"Unknown Gun Type",7,"Fake Weapons",NA,"",NA,"",NA,"",NA,"",NA,"","Fake bomb",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",4400,"Money stolen",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"The robbery took place at 5:40 PM and lasted twenty seconds.  Richard Guthrie went inside the bank to steal the money while Pete Langan covered the outside.","Mark S. Hamm, ""In Bad Company: America's Terrorist Underground,"" Northeastern University Press, 2002.","Mark S. Hamm, ""Terrorism as Crime: From Oklahoma City to Al-Qaeda and Beyond,"" New York University Press, 2007.","","Hewitt Project",0,0,0,0,"","right-wing"
"9",199403010007,1994,3,1,"",0,"",217,"United States",1,"North America","New York (U.S. State)","New York City",40.65,-73.95,1,0,"","",1,1,1,-9,NA,"",0,1,0,2,"Armed Assault",NA,"",NA,"",14,"Private Citizens & Property",70,"Student","Lubavitch Hasidic Sect","Van carrying rabbinical students",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Individual","","","","","","",0,NA,NA,1,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",2,"Automatic Weapon",13,"Unknown",NA,"",13,"Unknown",NA,"",13,"Unknown",NA,"","Automatic firearm",1,1,NA,3,3,NA,1,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"","","","","PGIS",-9,-9,0,-9,"",NA
"10",199403040017,1994,3,4,"",0,"",217,"United States",1,"North America","Wisconsin (U.S. State)","Green Bay",44.512795,-88.010159,1,0,"","3/4/1994: Two members of the Aryan Republican Army robbed the Associated Bank in Green Bay, Wisconsin, United States.  It is unknown how much money was stolen.",1,0,1,1,2,"Other Crime Type",0,1,0,5,"Hostage Taking (Barricade Incident)",NA,"",NA,"",1,"Business",3,"Bank/Commerce","Associated Bank","Associated Bank, Green Bay Wisconsin",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Aryan Republican Army","","","","","","The Aryan Republican Army robbed banks to simultaneously dispose the state of capital and to provide logistical support for their revolutionary war to overthrow the United States  government.  The money from the bank robberies was used to purchase guns, vehicles, and safehouses.  A portion of the money was also donated to various right-wing extremist causes.",0,NA,NA,2,2,0,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",5,"Unknown Gun Type",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",NA,"Money stolen",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"Pete Langan went into the bank first and stole the money.  Richard Guthrie followed Langan and muttered gibberish in a foreign language to further scare and confuse the bank customers.  This is the first robbery in which Langan and Guthrie represented themselves as the Aryan Republican Army.","Mark S. Hamm, ""In Bad Company: America's Terrorist Underground,"" Northeastern University Press, 2002.","Mark S. Hamm, ""Terrorism as Crime: From Oklahoma City to Al-Qaeda and Beyond,"" New York University Press, 2007.","","Hewitt Project",0,0,0,0,"","right-wing"
